Measurement Date
2021/10/28 18:08:01

Carrier Freq(Hz)
25050000000

Reference Level(dBm),ATT(dB),PreAmp,Offset(dB)
0.00,10.00,OFF,0.00

Average Count
1

Phase Noise Optimization
Auto

Carrier Power(dBm),Freq Error(Hz)
-47.16,-53383.59

Condition
Normal

Offset(Hz),Level(dBc/Hz)
100,-62.97
110,-67.52
120,-69.99
130,-67.41
140,-67.47
150,-69.46
160,-72.23
170,-75.18
180,-71.77
190,-73.41
200,-78.59
210,-75.18
220,-74.23
230,-76.00
240,-75.11
250,-77.17
260,-74.99
270,-75.21
280,-76.00
290,-79.48
300,-80.40
310,-79.41
320,-79.10
330,-76.69
340,-83.22
350,-76.61
360,-81.74
370,-82.85
380,-81.97
390,-82.18
400,-83.91
410,-77.73
420,-80.54
430,-82.74
440,-82.74
450,-85.05
460,-82.23
470,-81.66
480,-86.58
490,-87.38
500,-85.60
510,-83.73
520,-87.43
530,-85.22
540,-86.36
550,-87.47
560,-87.52
570,-89.77
580,-88.73
590,-86.15
600,-86.29
610,-87.80
620,-86.48
630,-86.61
640,-89.62
650,-89.50
660,-88.93
670,-87.24
680,-86.26
690,-86.10
700,-90.80
710,-88.54
720,-84.82
730,-88.39
740,-89.25
750,-87.18
760,-87.45
770,-90.05
780,-89.35
790,-90.45
800,-88.60
810,-89.71
820,-86.85
830,-87.33
840,-88.96
850,-90.23
860,-88.05
870,-92.08
880,-84.94
890,-89.91
900,-87.15
910,-87.98
920,-90.84
930,-85.74
940,-93.26
950,-91.05
960,-89.75
970,-91.28
980,-89.70
990,-89.13
1000,-85.46
1100,-89.75
1200,-89.47
1300,-90.43
1400,-91.63
1500,-89.06
1600,-91.10
1700,-90.27
1800,-88.17
1900,-90.18
2000,-91.37
2100,-90.89
2200,-92.81
2300,-90.56
2400,-88.36
2500,-89.66
2600,-89.38
2700,-90.76
2800,-91.89
2900,-91.54
3000,-90.79
3100,-90.94
3200,-92.55
3300,-90.64
3400,-89.95
3500,-91.78
3600,-91.73
3700,-89.55
3800,-90.25
3900,-91.24
4000,-90.92
4100,-89.52
4200,-90.57
4300,-88.12
4400,-90.28
4500,-90.22
4600,-92.31
4700,-90.02
4800,-93.87
4900,-90.11
5000,-93.23
5100,-91.66
5200,-92.46
5300,-90.87
5400,-89.41
5500,-86.52
5600,-91.85
5700,-93.51
5800,-90.54
5900,-87.49
6000,-91.84
6100,-88.27
6200,-86.38
6300,-88.36
6400,-89.32
6500,-94.12
6600,-91.47
6700,-92.99
6800,-91.53
6900,-91.12
7000,-90.48
7100,-91.10
7200,-89.83
7300,-91.49
7400,-89.63
7500,-92.07
7600,-91.78
7700,-92.04
7800,-90.75
7900,-89.60
8000,-91.11
8100,-94.63
8200,-88.39
8300,-89.71
8400,-91.51
8500,-88.00
8600,-92.63
8700,-91.53
8800,-93.28
8900,-90.29
9000,-90.96
9100,-90.79
9200,-88.49
9300,-88.60
9400,-89.65
9500,-87.97
9600,-91.21
9700,-91.64
9800,-91.72
9900,-93.51
10000,-90.79
11000,-90.32
12000,-90.43
13000,-90.01
14000,-90.15
15000,-88.97
16000,-90.00
