Measurement Date
2021/10/28 18:49:47

Carrier Freq(Hz)
25050000000

Reference Level(dBm),ATT(dB),PreAmp,Offset(dB)
0.00,10.00,OFF,0.00

Average Count
1

Phase Noise Optimization
Auto

Carrier Power(dBm),Freq Error(Hz)
-47.69,-53201.29

Condition
Normal

Offset(Hz),Level(dBc/Hz)
100,-64.40
110,-67.17
120,-65.29
130,-65.40
140,-67.39
150,-68.71
160,-70.44
170,-71.98
180,-74.30
190,-71.58
200,-72.98
210,-74.50
220,-74.29
230,-72.79
240,-75.97
250,-74.72
260,-78.56
270,-76.68
280,-75.34
290,-74.97
300,-79.87
310,-81.19
320,-80.34
330,-78.97
340,-80.19
350,-78.30
360,-79.28
370,-81.80
380,-82.42
390,-83.97
400,-81.55
410,-78.62
420,-78.82
430,-82.84
440,-82.02
450,-82.61
460,-84.82
470,-82.95
480,-84.44
490,-81.92
500,-84.90
510,-83.79
520,-84.82
530,-87.00
540,-86.21
550,-88.02
560,-86.75
570,-91.71
580,-86.60
590,-84.93
600,-86.60
610,-85.94
620,-88.99
630,-85.42
640,-83.89
650,-87.88
660,-86.87
670,-88.05
680,-89.10
690,-86.93
700,-84.02
710,-86.35
720,-87.03
730,-77.74
740,-82.32
750,-85.75
760,-83.68
770,-87.76
780,-87.06
790,-88.89
800,-90.61
810,-88.23
820,-90.83
830,-89.05
840,-91.74
850,-88.16
860,-88.52
870,-88.72
880,-89.58
890,-68.77
900,-86.38
910,-88.69
920,-88.39
930,-90.70
940,-87.80
950,-89.78
960,-90.70
970,-93.15
980,-88.07
990,-89.21
1000,-87.08
1100,-92.80
1200,-89.65
1300,-92.85
1400,-90.10
1500,-88.25
1600,-88.66
1700,-91.89
1800,-87.15
1900,-91.32
2000,-89.52
2100,-90.68
2200,-89.93
2300,-90.37
2400,-91.37
2500,-90.61
2600,-89.04
2700,-89.92
2800,-86.09
2900,-89.69
3000,-90.59
3100,-90.42
3200,-90.42
3300,-90.25
3400,-90.50
3500,-88.59
3600,-87.56
3700,-88.30
3800,-91.47
3900,-89.39
4000,-89.94
4100,-90.10
4200,-90.20
4300,-87.83
4400,-88.65
4500,-88.83
4600,-89.89
4700,-88.15
4800,-93.28
4900,-90.44
5000,-91.17
5100,-92.13
5200,-92.18
5300,-92.31
5400,-86.88
5500,-87.36
5600,-88.59
5700,-88.11
5800,-88.43
5900,-87.33
6000,-88.75
6100,-91.10
6200,-87.53
6300,-89.08
6400,-86.38
6500,-91.00
6600,-91.63
6700,-90.69
6800,-91.71
6900,-89.64
7000,-87.37
7100,-93.07
7200,-90.80
7300,-88.64
7400,-89.84
7500,-90.77
7600,-90.80
7700,-88.56
7800,-88.33
7900,-90.59
8000,-87.77
8100,-91.78
8200,-87.97
8300,-89.10
8400,-90.07
8500,-90.03
8600,-87.40
8700,-89.84
8800,-91.77
8900,-90.16
9000,-91.97
9100,-90.53
9200,-84.79
9300,-88.80
9400,-89.03
9500,-88.33
9600,-86.99
9700,-90.13
9800,-85.96
9900,-90.78
10000,-89.79
11000,-88.43
12000,-89.40
13000,-88.46
14000,-89.25
15000,-89.96
16000,-89.81
17000,-88.82
18000,-90.34
19000,-89.23
20000,-89.78
21000,-89.30
22000,-90.32
23000,-88.99
24000,-90.10
25000,-89.66
26000,-89.61
27000,-89.94
28000,-89.29
29000,-89.73
30000,-89.45
31000,-89.19
32000,-89.65
33000,-89.53
34000,-90.14
35000,-89.02
36000,-89.84
37000,-89.35
38000,-90.08
39000,-89.51
40000,-88.33
41000,-88.75
42000,-88.99
43000,-89.16
44000,-89.91
45000,-90.00
46000,-89.15
47000,-90.40
48000,-89.70
49000,-88.59
50000,-90.63
51000,-89.97
52000,-88.94
53000,-89.33
54000,-89.89
55000,-89.19
56000,-89.79
57000,-89.36
58000,-89.40
59000,-88.27
60000,-88.50
61000,-89.95
62000,-89.63
63000,-88.94
64000,-91.01
65000,-90.03
66000,-88.24
67000,-90.12
68000,-88.63
69000,-89.40
70000,-88.50
71000,-88.65
72000,-89.17
73000,-90.66
74000,-90.34
75000,-89.43
76000,-89.45
77000,-90.84
78000,-89.15
79000,-89.09
80000,-88.84
81000,-89.01
82000,-89.68
83000,-88.96
84000,-88.77
85000,-89.45
86000,-89.17
87000,-88.71
88000,-89.78
89000,-89.10
90000,-89.69
91000,-88.41
92000,-89.62
93000,-89.71
94000,-88.53
95000,-88.94
96000,-89.38
97000,-89.81
98000,-89.67
99000,-90.08
100000,-89.76
110000,-89.31
120000,-89.33
130000,-89.56
140000,-89.32
150000,-88.99
160000,-89.36
170000,-88.98
180000,-89.39
190000,-89.22
200000,-89.10
210000,-89.64
220000,-89.29
230000,-89.67
240000,-89.30
250000,-89.25
260000,-89.39
270000,-89.33
280000,-89.71
290000,-89.30
300000,-89.62
310000,-89.53
320000,-89.39
330000,-89.24
340000,-89.33
350000,-89.07
360000,-89.47
370000,-89.45
380000,-89.33
390000,-89.27
400000,-89.55
410000,-88.99
420000,-89.42
430000,-89.76
440000,-89.60
450000,-89.31
460000,-89.47
470000,-89.21
480000,-89.35
490000,-89.52
500000,-89.51
510000,-89.46
520000,-89.54
530000,-89.74
540000,-89.81
550000,-89.20
560000,-89.17
570000,-89.60
580000,-89.64
590000,-89.11
600000,-89.51
610000,-89.33
620000,-89.78
630000,-89.37
640000,-89.55
650000,-89.06
660000,-89.65
670000,-89.61
680000,-89.30
690000,-89.62
700000,-89.62
710000,-89.46
720000,-89.61
730000,-89.44
740000,-89.62
750000,-89.27
760000,-89.28
770000,-89.46
780000,-89.51
790000,-89.44
800000,-89.87
810000,-89.27
820000,-89.55
830000,-89.39
840000,-89.34
850000,-89.52
860000,-89.27
870000,-89.43
880000,-89.70
890000,-89.38
900000,-89.60
910000,-89.40
920000,-89.36
930000,-89.35
940000,-89.37
950000,-89.41
960000,-89.37
970000,-89.58
980000,-89.52
990000,-89.28
1000000,-89.80
1100000,-88.34
1200000,-89.52
1300000,-90.85
1400000,-89.23
1500000,-89.78
1600000,-88.93
1700000,-87.81
1800000,-89.92
1900000,-90.39
2000000,-87.80
2100000,-88.72
2200000,-87.20
2300000,-89.09
2400000,-90.46
2500000,-91.74
2600000,-89.65
2700000,-90.27
2800000,-87.37
2900000,-91.07
3000000,-89.54
3100000,-90.75
3200000,-89.66
3300000,-88.94
3400000,-88.88
3500000,-88.74
3600000,-90.45
3700000,-89.50
3800000,-88.56
3900000,-91.41
4000000,-89.21
4100000,-89.77
4200000,-89.55
4300000,-90.46
4400000,-89.12
4500000,-89.38
4600000,-89.59
4700000,-89.90
4800000,-90.69
4900000,-88.18
5000000,-89.73
5100000,-90.87
5200000,-91.27
5300000,-90.45
5400000,-88.74
5500000,-89.54
5600000,-91.04
5700000,-86.92
5800000,-93.74
5900000,-90.38
6000000,-88.82
6100000,-90.36
6200000,-92.69
6300000,-88.83
6400000,-90.24
6500000,-90.03
6600000,-89.30
6700000,-91.40
6800000,-90.02
6900000,-91.54
7000000,-89.10
7100000,-89.87
7200000,-89.25
7300000,-90.06
