Measurement Date
2021/10/28 18:22:36

Carrier Freq(Hz)
25050000000

Reference Level(dBm),ATT(dB),PreAmp,Offset(dB)
0.00,10.00,OFF,0.00

Average Count
1

Phase Noise Optimization
Auto

Carrier Power(dBm),Freq Error(Hz)
-48.02,-53313.51

Condition
Normal

Offset(Hz),Level(dBc/Hz)
100,-62.38
110,-66.32
120,-70.93
130,-70.55
140,-68.71
150,-68.96
160,-72.91
170,-70.72
180,-69.74
190,-71.68
200,-72.54
210,-75.22
220,-74.81
230,-75.46
240,-76.10
250,-75.54
260,-74.34
270,-73.44
280,-78.11
290,-79.20
300,-78.93
310,-79.34
320,-75.60
330,-78.49
340,-82.56
350,-80.03
360,-81.21
370,-80.18
380,-79.91
390,-83.10
400,-84.19
410,-75.57
420,-79.04
430,-81.88
440,-85.38
450,-84.33
460,-85.12
470,-87.32
480,-87.29
490,-85.43
500,-83.41
510,-83.80
520,-85.17
530,-85.58
540,-81.19
550,-86.28
560,-87.15
570,-83.03
580,-85.68
590,-85.46
600,-87.72
610,-81.85
620,-81.56
630,-88.46
640,-83.06
650,-87.30
660,-87.69
670,-86.99
680,-88.65
690,-88.37
700,-89.29
710,-85.25
720,-73.76
730,-70.37
740,-88.88
750,-89.91
760,-81.37
770,-82.43
780,-86.58
790,-87.50
800,-89.24
810,-87.88
820,-85.24
830,-88.37
840,-89.18
850,-91.46
860,-89.99
870,-91.07
880,-87.72
890,-86.17
900,-84.97
910,-89.00
920,-89.38
930,-87.85
940,-90.15
950,-90.51
960,-91.19
970,-88.84
980,-88.57
990,-87.53
1000,-90.01
1100,-87.60
1200,-90.34
1300,-90.44
1400,-89.99
1500,-87.54
1600,-91.20
1700,-91.01
1800,-89.78
1900,-89.25
2000,-86.29
2100,-88.13
2200,-90.75
2300,-89.12
2400,-90.66
2500,-90.07
2600,-90.21
2700,-86.84
2800,-85.50
2900,-85.67
3000,-89.01
3100,-88.62
3200,-87.11
3300,-87.85
3400,-91.26
3500,-86.93
3600,-87.57
3700,-89.77
3800,-89.85
3900,-91.38
4000,-87.72
4100,-88.40
4200,-90.52
4300,-88.57
4400,-89.89
4500,-90.21
4600,-86.46
4700,-86.57
4800,-89.94
4900,-88.46
5000,-86.84
5100,-87.60
5200,-89.76
5300,-89.27
5400,-90.28
5500,-89.56
5600,-87.81
5700,-88.69
5800,-89.02
5900,-89.49
6000,-90.64
6100,-90.47
6200,-88.24
6300,-90.43
6400,-90.73
6500,-90.37
6600,-87.45
6700,-86.96
6800,-92.37
6900,-89.46
7000,-90.00
7100,-91.70
7200,-92.91
7300,-85.16
7400,-91.70
7500,-91.91
7600,-85.25
7700,-87.00
7800,-92.08
7900,-92.83
8000,-89.21
8100,-90.00
8200,-89.56
8300,-89.42
8400,-89.52
8500,-89.42
8600,-87.13
8700,-86.69
8800,-90.74
8900,-88.78
9000,-88.09
9100,-87.90
9200,-92.00
9300,-89.93
9400,-87.07
9500,-88.92
9600,-89.54
9700,-88.42
9800,-89.86
9900,-89.81
10000,-89.40
11000,-89.02
12000,-89.28
13000,-89.17
14000,-90.52
15000,-88.86
16000,-89.64
17000,-89.06
18000,-88.83
19000,-88.55
20000,-88.46
21000,-89.43
