Trace, Start Freq(Hz), Stop Freq(Hz)
Trace-A, 25049442790, 25050442790

RBW(Hz), VBW(Hz), SWT(ms), ATT(dB)
3000, 3000, 66, 10

Detection, Trace Points
Pos & Neg, 10001

Ref Level(dBm), PreAmp
-10.00, Off

Storage Mode-A
Off

Wave Data(dBm)-A, A(neg)
-100.476, -100.736
-100.257, -100.476
-100.010, -100.222
-99.768, -100.010
-99.569, -99.768
-99.347, -99.569
-99.165, -99.347
-98.964, -99.137
-98.775, -98.964
-98.623, -98.775
-98.456, -98.623
-98.322, -98.456
-98.177, -98.301
-98.044, -98.177
-97.940, -98.044
-97.829, -97.940
-97.743, -97.829
-97.655, -97.731
-97.577, -97.655
-97.521, -97.577
-97.466, -97.521
-97.429, -97.466
-97.399, -97.424
-97.382, -97.399
-97.377, -97.382
-97.379, -97.389
-97.389, -97.410
-97.415, -97.450
-97.450, -97.508
-97.508, -97.572
-97.572, -97.667
-97.667, -97.764
-97.781, -97.896
-97.896, -98.054
-98.054, -98.209
-98.209, -98.413
-98.413, -98.610
-98.645, -98.866
-98.866, -99.153
-99.153, -99.422
-99.422, -99.767
-99.767, -100.089
-100.146, -100.494
-100.494, -100.932
-100.932, -101.331
-101.331, -101.824
-101.824, -102.264
-102.338, -102.789
-102.789, -103.319
-103.319, -103.760
-103.760, -104.241
-104.241, -104.603
-104.658, -104.940
-104.940, -105.157
-105.157, -105.232
-105.181, -105.233
-105.028, -105.181
-104.740, -104.994
-104.362, -104.740
-103.990, -104.362
-103.525, -103.990
-103.114, -103.525
-102.638, -103.045
-102.175, -102.638
-101.795, -102.175
-101.376, -101.795
-101.041, -101.376
-100.677, -100.987
-100.343, -100.677
-100.083, -100.343
-99.804, -100.083
-99.590, -99.804
-99.367, -99.557
-99.172, -99.367
-99.025, -99.172
-98.879, -99.025
-98.773, -98.879
-98.672, -98.757
-98.596, -98.672
-98.548, -98.596
-98.516, -98.548
-98.506, -98.516
-98.506, -98.516
-98.516, -98.550
-98.550, -98.597
-98.597, -98.675
-98.675, -98.760
-98.777, -98.884
-98.884, -99.033
-99.033, -99.182
-99.182, -99.379
-99.379, -99.572
-99.605, -99.822
-99.822, -100.100
-100.100, -100.360
-100.360, -100.690
-100.690, -100.996
-101.049, -101.378
-101.378, -101.787
-101.787, -102.156
-102.156, -102.606
-102.606, -103.008
-103.076, -103.489
-103.489, -103.978
-103.978, -104.398
-104.398, -104.884
-104.884, -105.288
-105.355, -105.738
-105.738, -106.154
-106.154, -106.478
-106.478, -106.814
-106.814, -107.062
-107.100, -107.305
-107.305, -107.502
-107.502, -107.641
-107.641, -107.773
-107.773, -107.870
-107.886, -107.975
-107.975, -108.079
-108.079, -108.176
-108.176, -108.305
-108.305, -108.435
-108.459, -108.614
-108.614, -108.825
-108.825, -109.033
-109.033, -109.306
-109.306, -109.564
-109.608, -109.889
-109.889, -110.227
-110.227, -110.515
-110.515, -110.837
-110.837, -111.079
-111.116, -111.301
-111.301, -111.435
