Trace, Start Freq(Hz), Stop Freq(Hz)
Trace-A, 25049442790, 25050442790

RBW(Hz), VBW(Hz), SWT(ms), ATT(dB)
3000, 3000, 66, 10

Detection, Trace Points
Pos & Neg, 10001

Ref Level(dBm), PreAmp
-10.00, Off

Storage Mode-A
Off

Wave Data(dBm)-A, A(neg)
-93.800, -94.105
-93.456, -93.800
-93.175, -93.456
-92.863, -93.175
-92.609, -92.863
-92.330, -92.568
-92.068, -92.330
-91.858, -92.068
-91.630, -91.858
-91.451, -91.630
-91.259, -91.422
-91.089, -91.259
-90.956, -91.089
-90.821, -90.956
-90.724, -90.821
-90.628, -90.708
-90.553, -90.628
-90.506, -90.554
-90.471, -90.506
-90.458, -90.471
-90.458, -90.464
-90.464, -90.493
-90.493, -90.535
-90.535, -90.608
-90.608, -90.688
-90.703, -90.805
-90.805, -90.945
-90.945, -91.086
-91.086, -91.272
-91.272, -91.453
-91.485, -91.689
-91.689, -91.952
-91.952, -92.199
-92.199, -92.513
-92.513, -92.804
-92.855, -93.171
-93.171, -93.566
-93.566, -93.926
-93.926, -94.375
-94.375, -94.782
-94.851, -95.281
-95.281, -95.804
-95.804, -96.269
-96.269, -96.830
-96.830, -97.316
-97.398, -97.888
-97.888, -98.450
-98.450, -98.914
-98.914, -99.419
-99.419, -99.806
-99.865, -100.189
-100.189, -100.485
-100.485, -100.661
-100.661, -100.776
-100.776, -100.801
-100.756, -100.799
-100.649, -100.756
-100.523, -100.649
-100.351, -100.523
-100.193, -100.351
-100.011, -100.167
-99.838, -100.011
-99.702, -99.838
-99.568, -99.702
-99.473, -99.568
-99.390, -99.458
-99.337, -99.390
-99.320, -99.337
-99.318, -99.328
-99.328, -99.364
-99.372, -99.437
-99.437, -99.544
-99.544, -99.666
-99.666, -99.838
-99.838, -100.013
-100.046, -100.251
-100.251, -100.526
-100.526, -100.792
-100.792, -101.136
-101.136, -101.461
-101.518, -101.878
-101.878, -102.333
-102.333, -102.756
-102.756, -103.286
-103.286, -103.771
-103.855, -104.375
-104.375, -105.012
-105.012, -105.584
-105.584, -106.269
-106.269, -106.864
-106.962, -107.547
-107.547, -108.192
-108.192, -108.689
-108.689, -109.164
-109.164, -109.459
-109.496, -109.647
-109.647, -109.676
-109.546, -109.661
-109.288, -109.546
-108.991, -109.288
-108.581, -108.934
-108.134, -108.581
-107.738, -108.134
-107.274, -107.738
-106.879, -107.274
-106.426, -106.813
-105.985, -106.426
-105.615, -105.985
-105.193, -105.615
-104.835, -105.193
-104.427, -104.777
-104.023, -104.427
-103.681, -104.023
-103.284, -103.681
-102.947, -103.284
-102.556, -102.891
-102.168, -102.556
-101.840, -102.168
-101.460, -101.840
-101.140, -101.460
-100.771, -101.087
-100.411, -100.771
-100.108, -100.411
-99.765, -100.108
-99.478, -99.765
-99.153, -99.431
-98.841, -99.153
-98.582, -98.841
-98.294, -98.582
-98.057, -98.294
-97.795, -98.019
-97.548, -97.795
-97.347, -97.548
-97.130, -97.347
