Trace, Start Freq(Hz), Stop Freq(Hz)
Trace-A, 25049442790, 25050442790

RBW(Hz), VBW(Hz), SWT(ms), ATT(dB)
3000, 3000, 66, 10

Detection, Trace Points
Pos & Neg, 10001

Ref Level(dBm), PreAmp
-10.00, Off

Storage Mode-A
Off

Wave Data(dBm)-A, A(neg)
-103.024, -103.048
-102.950, -103.024
-102.813, -102.934
-102.631, -102.813
-102.449, -102.631
-102.218, -102.449
-102.010, -102.218
-101.763, -101.974
-101.522, -101.763
-101.322, -101.522
-101.103, -101.322
-100.928, -101.103
-100.742, -100.900
-100.576, -100.742
-100.451, -100.576
-100.324, -100.451
-100.234, -100.324
-100.148, -100.221
-100.083, -100.148
-100.042, -100.083
-100.009, -100.042
-99.996, -100.009
-99.994, -99.996
-99.996, -100.009
-100.009, -100.031
-100.031, -100.066
-100.066, -100.102
-100.110, -100.152
-100.152, -100.207
-100.207, -100.255
-100.255, -100.314
-100.314, -100.364
-100.372, -100.419
-100.419, -100.471
-100.471, -100.511
-100.511, -100.551
-100.551, -100.580
-100.583, -100.604
-100.604, -100.620
-100.620, -100.626
-100.623, -100.626
-100.613, -100.623
-100.593, -100.610
-100.562, -100.593
-100.531, -100.562
-100.486, -100.531
-100.442, -100.486
-100.385, -100.435
-100.324, -100.385
-100.269, -100.324
-100.202, -100.269
-100.146, -100.202
-100.079, -100.136
-100.013, -100.079
-99.960, -100.013
-99.899, -99.960
-99.853, -99.899
-99.804, -99.846
-99.763, -99.804
-99.736, -99.763
-99.713, -99.736
-99.704, -99.713
-99.702, -99.704
-99.704, -99.717
-99.717, -99.742
-99.742, -99.783
-99.783, -99.834
-99.844, -99.907
-99.907, -100.000
-100.000, -100.096
-100.096, -100.224
-100.224, -100.351
-100.373, -100.518
-100.518, -100.704
-100.704, -100.883
-100.883, -101.108
-101.108, -101.318
-101.354, -101.581
-101.581, -101.864
-101.864, -102.121
-102.121, -102.438
-102.438, -102.725
-102.773, -103.074
-103.074, -103.439
-103.439, -103.764
-103.764, -104.155
-104.155, -104.500
-104.558, -104.912
-104.912, -105.335
-105.335, -105.702
-105.702, -106.138
-106.138, -106.514
-106.576, -106.955
-106.955, -107.396
-107.396, -107.771
-107.771, -108.203
-108.203, -108.564
-108.623, -108.970
-108.970, -109.353
-109.353, -109.655
-109.655, -109.969
-109.969, -110.193
-110.226, -110.390
-110.390, -110.502
-110.502, -110.523
-110.441, -110.520
-110.284, -110.441
-110.001, -110.250
-109.619, -110.001
-109.225, -109.619
-108.704, -109.225
-108.221, -108.704
-107.628, -108.137
-107.022, -107.628
-106.500, -107.022
-105.900, -106.500
-105.399, -105.900
-104.834, -105.316
-104.295, -104.834
-103.859, -104.295
-103.377, -103.859
-102.992, -103.377
-102.574, -102.931
-102.193, -102.574
-101.894, -102.193
-101.576, -101.894
-101.333, -101.576
-101.080, -101.294
-100.861, -101.080
-100.701, -100.861
-100.542, -100.701
-100.431, -100.542
-100.331, -100.416
-100.257, -100.331
