Trace, Start Freq(Hz), Stop Freq(Hz)
Trace-A, 25049442790, 25050442790

RBW(Hz), VBW(Hz), SWT(ms), ATT(dB)
3000, 3000, 66, 10

Detection, Trace Points
Pos & Neg, 10001

Ref Level(dBm), PreAmp
-10.00, Off

Storage Mode-A
Off

Wave Data(dBm)-A, A(neg)
-97.743, -98.025
-97.428, -97.697
-97.135, -97.428
-96.902, -97.135
-96.655, -96.902
-96.465, -96.655
-96.274, -96.435
-96.115, -96.274
-96.006, -96.115
-95.914, -96.006
-95.865, -95.914
-95.844, -95.860
-95.844, -95.861
-95.861, -95.909
-95.909, -96.004
-96.004, -96.120
-96.142, -96.295
-96.296, -96.517
-96.517, -96.744
-96.744, -97.050
-97.050, -97.353
-97.407, -97.753
-97.753, -98.202
-98.202, -98.630
-98.630, -99.177
-99.177, -99.686
-99.775, -100.326
-100.326, -101.010
-101.010, -101.625
-101.625, -102.359
-102.359, -102.986
-103.089, -103.685
-103.685, -104.304
-104.304, -104.726
-104.726, -105.051
-105.051, -105.157
-105.081, -105.159
-104.815, -105.081
-104.471, -104.815
-103.982, -104.471
-103.521, -103.982
-102.964, -103.442
-102.405, -102.964
-101.940, -102.405
-101.416, -101.940
-100.985, -101.416
-100.509, -100.915
-100.058, -100.509
-99.692, -100.058
-99.286, -99.692
-98.957, -99.286
-98.593, -98.904
-98.250, -98.593
-97.970, -98.250
-97.663, -97.970
-97.415, -97.663
-97.142, -97.375
-96.889, -97.142
-96.686, -96.889
-96.466, -96.686
-96.292, -96.466
-96.106, -96.264
-95.939, -96.106
-95.812, -95.939
-95.680, -95.812
-95.583, -95.680
-95.487, -95.568
-95.413, -95.487
-95.365, -95.413
-95.327, -95.365
-95.311, -95.327
-95.310, -95.313
-95.313, -95.337
-95.337, -95.373
-95.373, -95.437
-95.437, -95.509
-95.522, -95.614
-95.614, -95.743
-95.743, -95.870
-95.870, -96.043
-96.043, -96.207
-96.238, -96.423
-96.423, -96.661
-96.661, -96.883
-96.883, -97.161
-97.161, -97.416
-97.460, -97.729
-97.729, -98.056
-98.056, -98.344
-98.344, -98.681
-98.681, -98.968
-99.015, -99.290
-99.290, -99.585
-99.585, -99.808
-99.808, -100.021
-100.021, -100.152
-100.169, -100.237
-100.237, -100.250
-100.180, -100.241
-100.037, -100.180
-99.857, -100.037
-99.596, -99.824
-99.290, -99.596
-99.002, -99.290
-98.649, -99.002
-98.341, -98.649
-97.980, -98.290
-97.630, -97.980
-97.338, -97.630
-97.017, -97.338
-96.757, -97.017
-96.474, -96.715
-96.214, -96.474
-96.014, -96.214
-95.801, -96.014
-95.641, -95.801
-95.477, -95.617
-95.341, -95.477
-95.242, -95.341
-95.152, -95.242
-95.094, -95.152
-95.048, -95.086
-95.026, -95.048
-95.024, -95.026
-95.025, -95.042
-95.042, -95.075
-95.081, -95.129
-95.129, -95.202
-95.202, -95.277
-95.277, -95.379
-95.379, -95.476
-95.492, -95.599
-95.599, -95.730
-95.730, -95.848
