Measurement Date
2021/10/28 18:48:29

Carrier Freq(Hz)
25050000000

Reference Level(dBm),ATT(dB),PreAmp,Offset(dB)
0.00,10.00,OFF,0.00

Average Count
1

Phase Noise Optimization
Auto

Carrier Power(dBm),Freq Error(Hz)
-47.80,-53186.19

Condition
Normal

Offset(Hz),Level(dBc/Hz)
100,-63.07
110,-64.97
120,-66.31
130,-67.40
140,-70.33
150,-69.15
160,-70.75
170,-69.98
180,-76.05
190,-73.25
200,-74.05
210,-74.58
220,-74.67
230,-76.68
240,-76.33
250,-74.40
260,-75.99
270,-80.03
280,-77.14
290,-78.72
300,-79.87
310,-80.14
320,-80.46
330,-81.48
340,-81.45
350,-80.30
360,-80.61
370,-77.52
380,-80.10
390,-84.62
400,-82.09
410,-78.66
420,-80.73
430,-85.05
440,-85.07
450,-81.99
460,-82.61
470,-84.45
480,-84.96
490,-87.87
500,-86.02
510,-84.65
520,-83.98
530,-88.15
540,-87.28
550,-83.94
560,-85.47
570,-86.29
580,-88.21
590,-84.95
600,-87.32
610,-86.44
620,-84.62
630,-86.92
640,-87.21
650,-87.52
660,-85.15
670,-88.23
680,-88.50
690,-86.41
700,-86.57
710,-85.70
720,-77.86
730,-78.86
740,-81.29
750,-87.94
760,-83.52
770,-91.37
780,-87.68
790,-84.99
800,-87.43
810,-87.42
820,-89.11
830,-88.16
840,-89.24
850,-90.59
860,-86.50
870,-88.25
880,-92.13
890,-74.88
900,-88.23
910,-89.19
920,-88.09
930,-87.29
940,-87.22
950,-90.38
960,-87.93
970,-90.62
980,-92.50
990,-90.78
1000,-92.00
1100,-87.86
1200,-91.39
1300,-91.03
1400,-87.88
1500,-87.13
1600,-86.32
1700,-88.59
1800,-88.61
1900,-92.63
2000,-92.20
2100,-90.18
2200,-91.52
2300,-89.33
2400,-90.22
2500,-87.59
2600,-90.30
2700,-88.03
2800,-88.25
2900,-88.92
3000,-91.07
3100,-87.99
3200,-89.28
3300,-85.23
3400,-87.65
3500,-88.33
3600,-89.09
3700,-90.23
3800,-91.56
3900,-87.27
4000,-88.25
4100,-90.10
4200,-87.96
4300,-90.97
4400,-90.34
4500,-91.87
4600,-87.75
4700,-88.46
4800,-89.23
4900,-89.01
5000,-91.81
5100,-86.99
5200,-86.32
5300,-90.27
5400,-88.42
5500,-89.42
5600,-90.34
5700,-89.99
5800,-89.93
5900,-87.67
6000,-91.25
6100,-92.56
6200,-86.71
6300,-88.47
6400,-88.25
6500,-88.35
6600,-86.73
6700,-88.29
6800,-91.29
6900,-90.11
7000,-88.31
7100,-90.81
7200,-88.08
7300,-86.75
7400,-90.80
7500,-93.06
7600,-89.28
7700,-88.66
7800,-92.05
7900,-89.39
8000,-86.38
8100,-91.05
8200,-90.75
8300,-89.56
8400,-87.73
8500,-90.25
8600,-87.68
8700,-90.35
8800,-89.39
8900,-89.64
9000,-89.68
9100,-91.62
9200,-91.37
9300,-92.48
9400,-95.07
9500,-91.52
9600,-86.70
9700,-91.53
9800,-91.83
9900,-88.69
10000,-88.13
11000,-89.15
12000,-89.31
13000,-89.43
14000,-89.03
15000,-89.21
16000,-88.66
17000,-89.39
18000,-89.68
19000,-89.04
20000,-89.62
21000,-88.93
22000,-89.29
23000,-89.88
24000,-89.31
25000,-89.97
26000,-88.30
27000,-88.88
28000,-90.20
29000,-89.81
30000,-89.72
31000,-89.24
32000,-89.17
33000,-88.70
34000,-88.46
35000,-89.42
36000,-89.15
37000,-88.93
38000,-89.83
39000,-89.73
40000,-89.03
41000,-88.50
42000,-89.36
43000,-89.29
44000,-88.56
45000,-89.74
46000,-89.75
47000,-89.54
48000,-88.84
49000,-88.83
50000,-90.09
51000,-89.77
52000,-89.30
53000,-89.60
54000,-89.49
55000,-89.36
56000,-88.23
57000,-89.82
58000,-88.61
59000,-89.61
60000,-89.86
61000,-89.79
62000,-88.87
63000,-88.88
64000,-88.99
65000,-88.25
66000,-88.59
67000,-90.31
68000,-88.05
69000,-90.58
70000,-88.98
71000,-88.70
72000,-89.55
73000,-89.66
74000,-89.19
75000,-89.34
76000,-89.13
77000,-88.92
78000,-89.74
79000,-89.79
80000,-89.13
81000,-90.85
82000,-90.08
83000,-88.92
84000,-89.46
85000,-89.38
86000,-89.43
87000,-88.29
88000,-89.21
89000,-89.38
90000,-88.70
91000,-88.99
92000,-89.74
93000,-89.00
94000,-89.14
95000,-89.55
96000,-89.82
97000,-89.16
98000,-89.46
99000,-89.55
100000,-89.21
110000,-89.38
120000,-89.09
130000,-89.33
140000,-89.53
150000,-89.41
160000,-89.66
170000,-89.21
180000,-89.64
190000,-88.98
